Año|Mes|CCAA|Producto|Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita|Gasto per capita||
2014 | Febrero|Total nacional|GUISANTES|1.999,23|3.247,87|1,62|11,19|0,04|0,07||
2014 | Febrero|Total nacional|JUDIA VERDE|2.755,30|3.579,66|1,3|11,44|0,06|0,08||
2014 | Febrero|Total nacional|COLIFLOR|282,92|476,95|1,69|1,44|0,01|0,01||
2014 | Febrero|Total nacional|PIMIENTOS|141,66|295,47|2,09|1,15|0|0,01||
2014 | Febrero|Total nacional|BROCOLI|430,24|779,47|1,81|1,98|0,01|0,02||
2014 | Febrero|Total nacional|MENESTRA|1.295,08|2.282,24|1,76|6,2|0,03|0,05||
2014 | Febrero|Total nacional|OTR.VERD/HOR.CONG.|2.882,26|7.602,55|2,64|16,2|0,06|0,17||
2014 | Febrero|Total nacional|FRUTAS CONGELADAS|55,63|227,54|4,09|0,29|0|0,01||
2014 | Marzo|Total nacional|GUISANTES|827,60|1.917,06|2,32|6,84|0,02|0,04||
2014 | Marzo|Total nacional|JUDIAS VERDES|1.041,93|1.607,75|1,54|5,36|0,02|0,04||
2014 | Marzo|Total nacional|PIMIENTOS|1.113,66|4.550,63|4,09|13,5|0,02|0,1||
2014 | Marzo|Total nacional|ESPARRAGOS|1.712,81|9.912,84|5,79|14,5|0,04|0,22||
2014 | Marzo|Total nacional|ALCACHOFAS|757,48|3.334,03|4,4|5,99|0,02|0,07||
2014 | Marzo|Total nacional|CHAMPIÑOSNES+SETAS|1.750,33|4.925,12|2,81|13,09|0,04|0,11||
2014 | Marzo|Total nacional|MAIZ DULCE|1.556,31|4.680,34|3,01|13,25|0,03|0,1||
2014 | Marzo|Total nacional|MENESTRA|247,50|477,79|1,93|1,56|0,01|0,01||
2014 | Marzo|Total nacional|TOMATES|21.024,11|27.626,45|1,31|58,23|0,47|0,62||
2014 | Marzo|Total nacional|TOMATE FRITO|14.623,66|20.152,84|1,38|47,86|0,33|0,45||
2014 | Marzo|Total nacional|TOMATE NATURAL|6.400,45|7.473,61|1,17|23,54|0,14|0,17||
2014 | Marzo|Total nacional|TOMATE N.ENTERO|829,43|1.022,94|1,23|3,58|0,02|0,02||
2014 | Marzo|Total nacional|TOMATE N.TRITUR.|5.571,02|6.450,67|1,16|21|0,12|0,14||
2014 | Marzo|Total nacional|OTRA VERD/HORT.CON|1.660,25|4.195,74|2,53|11,67|0,04|0,09||
2014 | Marzo|Total nacional|FRUTA EN CONSERVA|7.586,39|21.549,04|2,84|38,91|0,17|0,48||
2014 | Marzo|Total nacional|MERMELADAS,CONFIT.|3.049,62|10.574,50|3,47|24,45|0,07|0,24||
2014 | Marzo|Total nacional|FRUTA CONS/ALMIBAR|3.859,18|8.291,87|2,15|15,46|0,09|0,18||
2014 | Marzo|Total nacional|FRUTA ESCARCHADA|57,58|412,41|7,16|0,83|0|0,01||
2014 | Marzo|Total nacional|RESTO FRUTA CONSER|620,00|2.270,26|3,66|6,24|0,01|0,05||
2014 | Marzo|Total nacional|VERD./HORT.CONGELAD|11.644,76|21.875,19|1,88|37,53|0,26|0,49||
2014 | Marzo|Total nacional|ESPINACAS|1.255,60|2.060,65|1,64|7,68|0,03|0,05||
2014 | Marzo|Total nacional|GUISANTES|2.206,30|3.701,32|1,68|13,21|0,05|0,08||
2014 | Marzo|Total nacional|JUDIA VERDE|2.768,01|3.527,99|1,27|11,1|0,06|0,08||
2014 | Marzo|Total nacional|COLIFLOR|287,29|496,16|1,73|1,61|0,01|0,01||
2014 | Marzo|Total nacional|PIMIENTOS|144,34|304,72|2,11|1,22|0|0,01||
2014 | Marzo|Total nacional|BROCOLI|394,08|695,21|1,76|2,19|0,01|0,02||
2014 | Marzo|Total nacional|MENESTRA|1.361,03|2.426,97|1,78|6,54|0,03|0,05||
2014 | Marzo|Total nacional|OTR.VERD/HOR.CONG.|3.228,11|8.662,17|2,68|17,84|0,07|0,19||
2014 | Marzo|Total nacional|FRUTAS CONGELADAS|45,33|275,37|6,07|0,32|0|0,01||
2014 | Abril|Total nacional|GUISANTES|888,14|1.994,89|2,25|6,98|0,02|0,04||
2014 | Abril|Total nacional|JUDIAS VERDES|1.074,57|1.670,06|1,55|5,24|0,02|0,04||
2014 | Abril|Total nacional|PIMIENTOS|1.267,89|5.251,59|4,14|14,38|0,03|0,12||
2014 | Abril|Total nacional|ESPARRAGOS|1.714,92|9.953,31|5,8|14,63|0,04|0,22||
2014 | Abril|Total nacional|ALCACHOFAS|584,59|2.676,41|4,58|4,92|0,01|0,06||
2014 | Abril|Total nacional|CHAMPIÑOSNES+SETAS|1.475,24|4.142,47|2,81|10,96|0,03|0,09||
2014 | Abril|Total nacional|MAIZ DULCE|1.619,37|4.927,79|3,04|13,62|0,04|0,11||
2014 | Abril|Total nacional|MENESTRA|260,35|459,10|1,76|1,4|0,01|0,01||
2014 | Abril|Total nacional|TOMATES|19.945,89|26.493,56|1,33|57,66|0,44|0,59||
2014 | Abril|Total nacional|TOMATE FRITO|13.889,46|19.421,87|1,4|47,24|0,31|0,43||
2014 | Abril|Total nacional|TOMATE NATURAL|6.056,43|7.071,69|1,17|23,22|0,14|0,16||
2014 | Abril|Total nacional|TOMATE N.ENTERO|725,93|994,70|1,37|3,24|0,02|0,02||
2014 | Abril|Total nacional|TOMATE N.TRITUR.|5.330,51|6.076,98|1,14|21,11|0,12|0,14||
2014 | Abril|Total nacional|OTRA VERD/HORT.CON|1.670,39|4.150,80|2,48|11,72|0,04|0,09||
2014 | Abril|Total nacional|FRUTA EN CONSERVA|7.392,91|20.683,56|2,8|37,08|0,16|0,46||
