CCAA,Mes,CasosConfirmados,Fallecidos,Year,Producto,Volumen (miles de kg),Penetración (%),TasaMortalidad
Aragon,3.0,6569.0,386.0,2020.0,PERAS,694.02,53.83,0.05876
Aragon,3.0,6569.0,386.0,2020.0,NECTARINAS,20.5,1.12,0.05876
Aragon,3.0,6569.0,386.0,2020.0,FRESAS/FRESON,1059.44,64.43,0.05876
Aragon,3.0,6569.0,386.0,2020.0,MELON,140.65,10.08,0.05876
Aragon,3.0,6569.0,386.0,2020.0,SANDIA,94.0,2.08,0.05876
Aragon,3.0,6569.0,386.0,2020.0,CIRUELAS,33.97,10.62,0.05876
Aragon,3.0,6569.0,386.0,2020.0,UVAS,117.11,14.67,0.05876
Aragon,3.0,6569.0,386.0,2020.0,KIWI,378.38,39.18,0.05876
Aragon,3.0,6569.0,386.0,2020.0,AGUACATE,163.96,29.28,0.05876
Aragon,3.0,6569.0,386.0,2020.0,PIÑA,182.46,14.31,0.05876
Aragon,3.0,6569.0,386.0,2020.0,OTRAS FRUTAS FRESCAS,270.25,25.46,0.05876
Aragon,3.0,6569.0,386.0,2020.0,POMELO,7.89,2.07,0.05876
Aragon,3.0,6569.0,386.0,2020.0,MANGO,114.47,18.24,0.05876
Aragon,3.0,6569.0,386.0,2020.0,FRUTAS IV GAMA,650.63,29.12,0.05876
Aragon,4.0,127709.0,15103.0,2020.0,TOTAL PATATAS,4709.62,91.31,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,PATATAS FRESCAS,3695.89,92.34,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,PATATAS CONGELADAS,64.86,9.35,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,PATATAS PROCESADAS,189.77,48.78,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,PATATAS FRITAS,175.37,48.6,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,T.HORTALIZAS FRESCAS,10415.76,98.04,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,TOMATES,1623.2,87.18,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,CEBOLLAS,1287.39,83.94,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,AJOS,119.47,36.69,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,COLES,289.87,22.04,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,PEPINOS,341.88,32.17,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,JUDIAS VERDES,412.36,52.51,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,PIMIENTOS,631.68,71.27,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,CHAMPIÑONES+O.SETAS,232.73,54.12,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,LECHUGA/ESC./ENDIVIA,960.45,82.94,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,ESPARRAGOS,292.0,26.08,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,VERDURAS DE HOJA,590.97,41.01,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,BERENJENAS,225.59,38.44,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,ZANAHORIAS,613.73,68.87,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,CALABACINES,765.32,65.25,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,OTR.HORTALIZAS/VERD.,2029.13,83.5,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,BROCOLI,293.73,33.9,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,ALCACHOFAS,323.01,34.62,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,APIO,91.02,13.68,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,COLIFLOR,62.68,9.05,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,VERD./HORT. IV GAMA,873.49,67.49,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,PUERRO,142.55,35.98,0.11826
Aragon,4.0,127709.0,15103.0,2020.0,T.FRUTAS FRESCAS,13538.71,98.78,0.11826
