Año|Mes|CCAA|Producto||Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita||
2013 | Enero|Andalucía|GUISANTES|Gasto per capita|89,85|216,08|2,4|5,33|0,01||
2013 | Enero|Andalucía|JUDIAS VERDES|0,02|238,38|345,41|1,45|7,99|0,03||
2013 | Enero|Andalucía|PIMIENTOS|0,04|197,05|774,78|3,93|14,34|0,02||
2013 | Enero|Andalucía|ESPARRAGOS|0,09|242,93|1.265,30|5,21|14,35|0,03||
2013 | Enero|Andalucía|ALCACHOFAS|0,15|137,44|700,91|5,1|7,19|0,02||
2013 | Enero|Andalucía|CHAMPIÑOSNES+SETAS|0,08|347,31|941,52|2,71|17,5|0,04||
2013 | Enero|Andalucía|MAIZ DULCE|0,11|314,51|895,41|2,85|15,76|0,04||
2013 | Enero|Andalucía|MENESTRA|0,1|41,61|72,28|1,74|1,62|0||
2013 | Enero|Andalucía|TOMATES|0,01|4.196,09|5.103,96|1,22|65,12|0,48||
2013 | Enero|Andalucía|TOMATE FRITO|0,59|3.050,20|3.863,96|1,27|56,69|0,35||
2013 | Enero|Andalucía|TOMATE NATURAL|0,45|1.145,89|1.240,00|1,08|24,82|0,13||
2013 | Enero|Andalucía|TOMATE N.ENTERO|0,14|130,53|138,50|1,06|3,29|0,02||
2013 | Enero|Andalucía|TOMATE N.TRITUR.|0,02|1.015,36|1.101,50|1,08|22,94|0,12||
2013 | Enero|Andalucía|OTRA VERD/HORT.CON|0,13|379,79|900,43|2,37|16,77|0,04||
2013 | Enero|Andalucía|FRUTA EN CONSERVA|0,1|1.276,06|3.449,36|2,7|36,19|0,15||
2013 | Enero|Andalucía|MERMELADAS,CONFIT.|0,4|335,87|1.203,60|3,58|18,6|0,04||
2013 | Enero|Andalucía|FRUTA CONS/ALMIBAR|0,14|814,00|1.700,96|2,09|18,17|0,09||
2013 | Enero|Andalucía|FRUTA ESCARCHADA|0,2|15,48|108,49|7,01|1,41|0||
2013 | Enero|Andalucía|RESTO FRUTA CONSER|0,01|110,71|436,30|3,94|5,33|0,01||
2013 | Enero|Andalucía|VERD./HORT.CONGELAD|0,05|2.385,13|4.530,04|1,9|44,58|0,28||
2013 | Enero|Andalucía|ESPINACAS|0,52|334,00|554,57|1,66|13,93|0,04||
2013 | Enero|Andalucía|GUISANTES|0,06|371,10|555,89|1,5|11,6|0,04||
2013 | Enero|Andalucía|JUDIA VERDE|0,06|565,81|731,28|1,29|14,59|0,07||
2013 | Enero|Andalucía|COLIFLOR|0,08|59,71|98,41|1,65|1,99|0,01||
2013 | Enero|Andalucía|PIMIENTOS|0,01|19,47|44,84|2,3|0,93|0||
2013 | Enero|Andalucía|BROCOLI|0,01|79,70|128,93|1,62|2,59|0,01||
2013 | Enero|Andalucía|MENESTRA|0,01|296,91|534,02|1,8|8,44|0,03||
2013 | Enero|Andalucía|OTR.VERD/HOR.CONG.|0,06|658,43|1.882,09|2,86|21,3|0,08||
2013 | Enero|Andalucía|FRUTAS CONGELADAS|0,22|46,56|85,23|1,83|3,01|0,01||
2013 | Enero|Aragón|GUISANTES|Gasto per capita|33,44|64,96|1,94|6,72|0,02||
2013 | Enero|Aragón|JUDIAS VERDES|0,05|26,17|32,44|1,24|3,8|0,02||
2013 | Enero|Aragón|PIMIENTOS|0,02|39,37|149,73|3,8|14,9|0,03||
2013 | Enero|Aragón|ESPARRAGOS|0,11|68,12|316,91|4,65|23,57|0,05||
2013 | Enero|Aragón|ALCACHOFAS|0,24|4,72|21,36|4,52|1,13|0||
2013 | Enero|Aragón|CHAMPIÑOSNES+SETAS|0,02|50,53|142,63|2,82|11,79|0,04||
2013 | Enero|Aragón|MAIZ DULCE|0,11|27,75|79,84|2,88|9,45|0,02||
2013 | Enero|Aragón|MENESTRA|0,06|11,04|24,73|2,24|2,3|0,01||
2013 | Enero|Aragón|TOMATES|0,02|523,64|686,81|1,31|53,26|0,39||
2013 | Enero|Aragón|TOMATE FRITO|0,51|402,97|546,03|1,36|47,01|0,3||
2013 | Enero|Aragón|TOMATE NATURAL|0,41|120,67|140,78|1,17|17,21|0,09||
2013 | Enero|Aragón|TOMATE N.ENTERO|0,1|17,29|19,13|1,11|2,42|0,01||
2013 | Enero|Aragón|TOMATE N.TRITUR.|0,01|103,38|121,65|1,18|14,94|0,08||
2013 | Enero|Aragón|OTRA VERD/HORT.CON|0,09|156,32|312,11|2|17,69|0,12||
2013 | Enero|Aragón|FRUTA EN CONSERVA|0,23|215,06|574,51|2,67|31,68|0,16||
2013 | Enero|Aragón|MERMELADAS,CONFIT.|0,43|66,33|201,71|3,04|19,8|0,05||
2013 | Enero|Aragón|FRUTA CONS/ALMIBAR|0,15|125,91|230,15|1,83|13,94|0,09||
2013 | Enero|Aragón|FRUTA ESCARCHADA|0,17|17,04|125,02|7,33|1,37|0,01||
2013 | Enero|Aragón|RESTO FRUTA CONSER|0,09|5,79|17,64|3,05|2,4|0||
2013 | Enero|Aragón|VERD./HORT.CONGELAD|0,01|402,07|663,91|1,65|45,06|0,3||
2013 | Enero|Aragón|ESPINACAS|0,49|49,35|70,39|1,43|11,04|0,04||
2013 | Enero|Aragón|GUISANTES|0,05|92,00|138,81|1,51|14,63|0,07||
2013 | Enero|Aragón|JUDIA VERDE|0,1|140,78|199,16|1,41|17,95|0,1||
2013 | Enero|Aragón|COLIFLOR|0,15|3,59|5,20|1,45|0,86|0||
2013 | Enero|Aragón|PIMIENTOS|0|2,27|4,77|2,1|0,66|0||
2013 | Enero|Aragón|BROCOLI|0|7,56|10,76|1,42|1,21|0,01||
2013 | Enero|Aragón|MENESTRA|0,01|52,30|84,30|1,61|6,7|0,04||
2013 | Enero|Aragón|OTR.VERD/HOR.CONG.|0,06|54,23|150,53|2,78|13,03|0,04||
2013 | Enero|Aragón|FRUTAS CONGELADAS|0,11|0,00|0,00|0|0|0||
2013 | Enero|Asturias|GUISANTES|Gasto per capita|46,52|107,33|2,31|15,99|0,04||
2013 | Enero|Asturias|JUDIAS VERDES|0,1|45,47|77,19|1,7|6,45|0,04||
2013 | Enero|Asturias|PIMIENTOS|0,07|42,63|179,71|4,22|19,04|0,04||
2013 | Enero|Asturias|ESPARRAGOS|0,17|32,30|155,34|4,81|10,46|0,03||
2013 | Enero|Asturias|ALCACHOFAS|0,14|3,86|13,42|3,48|1,57|0||
2013 | Enero|Asturias|CHAMPIÑOSNES+SETAS|0,01|65,76|182,63|2,78|17,85|0,06||
2013 | Enero|Asturias|MAIZ DULCE|0,17|7,38|21,50|2,91|2,66|0,01||
2013 | Enero|Asturias|MENESTRA|0,02|9,08|23,95|2,64|3,37|0,01||
2013 | Enero|Asturias|TOMATES|0,02|417,82|604,94|1,45|55,3|0,39||
2013 | Enero|Asturias|TOMATE FRITO|0,56|326,33|497,48|1,52|47,59|0,3||
2013 | Enero|Asturias|TOMATE NATURAL|0,46|91,49|107,46|1,17|15,15|0,08||
